empty,tiffanylue i know  i was listenin to bad habit earlier and i started freakin at his part 
sadness,layin n bed with a headache  ughhhhwaitin on your call
sadness,funeral ceremonygloomy friday
enthusiasm,wants to hang out with friends soon
neutral,dannycastillo we want to trade with someone who has houston tickets but no one will
worry,repinging ghostridah why didnt you go to prom bc my bf didnt like my friends
sadness,i should be sleep but im not thinking about an old friend who i want but hes married now damn amp he wants me  scandalous
worry,hmmm httpwwwdjherocom is down
sadness,charviray charlene my love i miss you
sadness,kelcouch im sorry  at least its friday
neutral,cant fall asleep
worry,choked on her retainers
sadness,ugh i have to beat this stupid song to get to the next  rude
sadness,brodyjenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
surprise,got the news
sadness,the storm is here and the electricity is gone
love,annarosekerr agreed
sadness,so sleepy again and its not even that late i fail once again
worry,perezhilton lady gaga tweeted about not being impressed by her video leaking just so you know
sadness,how are you convinced that i have always wanted you what signals did i give offdamn i think i just lost another friend
worry,raaaaaaek oh too bad i hope it gets better ive been having sleep issues lately too
fun,wondering why im awake at amwriting a new songplotting my evil secret plots muahahahaoh damn itnot secret anymore
neutral,no topic maps talks at the balisage markup conference    program online at httptrimmlz via bobdc topicmaps
worry,i ate something i dont know what it is why do i keep telling things about food
sadness,so tired and i think im definitely going to get an ear infection  going to bed quotearlyquot for once
worry,on my way home n having  deal w underage girls drinking gin on da bus while talking bout keggersdamn i feel old
sadness,isaacmascote  im sorry people are so rude to you isaac they should get some manners and know better than to be so lewd
worry,damm servers still down  i need to hit  before all the koxpers pass me
sadness,fudge just bsd that whole paper so tired ugh i hate school  time to sleep
worry,i hate cancer i hate it i hate it i hate it
hate,it is so annoying when she starts typing on her computer in the middle of the night
neutral,cynthia i cant sleep
neutral,i missed the bly bus
neutral,feels strong contractions but wants to go out  httpplurkcompwxidk
neutral,socal  stoked or maybe not tomorrow
neutral,screw you davidbrussee i only have  weeks
sadness,etherradio yeah s i feel all funny cause i havent slept enough  i woke my mum up cause i was singing shes not impressed s you
worry,i need skott right now
neutral,has work this afternoon
neutral,gabbyisactive aw you would not unfollow me would you then i would cry
happiness,mmm much better day so far its still quite early last day of uds
fun,davidarchie lt your gonna be the first  twitter  cause your amazing lol come to canada  would do anything to see you perform
worry,just picked up her blackberry from the middle of the street both she and it are crushed
worry,why do i have the feeling i should be packing and hitting for sfo around this time of the year i think im missing something
empty,creyes middle school and elem high schools will remain open for those who need credits to graduate cali is broken
worry,bed its time hope i go to school tomorrow all though i dont feel very well right now
worry,onscrn ahh   well i was hoping that i could learn some stuff on the way  why not you and i work on separate things but also
sadness,im having a problem with my photo here in twitter amfcant see my face
neutral,jakeboyd oh noooo  if i blow a tire youre reaaaally going to have to send up some batman smoke
neutral,wnna take a bath
neutral,chocolate milk is so much better through a straw i lack said straw
worry,why am i so tired
empty,djmicdamn hey yu lil fucker i textd yu
neutral,mennard time diff and ive just been wrapped up in day to day stuff so i havent been tweeting talk soonmust sleepup in hrs
neutral,benballer  no way damn that sucks b  are you ok
worry,sucks not being able to take days off of work or have the money to take the trip  so sad
enthusiasm,bedsorta today was good sara has strep thought angelina does to i shared a water with her b they told me i will prob get it to
neutral,ramtops the recession her hotel are restructuring how the accounts are done adds a bit more pressure in the short term but well cope
neutral,lostluna but i got dibs on sulu
sadness,maternitytees aww  onward and upwards now yay still sad to leave i bet
worry,itsgabbith at once haha  poor aby still gets sore
sadness,diesel yaris mpg  so sad its not available in the us thatd be awesome
sadness,i want to buy this great album but unfortunately i dont hav enuff funds  its quotlong time noisyquot
sadness,pokinatcha  in all honestypain   blech
sadness,ok  the passengers  no one is alive  theyre all dead  you just dont know it til the end  then you cry 
neutral,at home alone with not much to do
worry,davidcooklove ia so much i havent really been happy with any of cooks choices for singles
sadness,vincew stefanyngo  i fell asleep on the beach and didnt put on enough sunscreen  lol
worry,so i think my son might have the flu cause i def just cleaned up a stanky puke mess  poor pumkpin
happiness,so great to see oin amp cynthia  so happy  dinner was great cute little place  too bad oin got sick afterwards
neutral,i cant give jertronic any bday nudges
worry,and all woman who transfer their first impressions sexualmaternal onto a less threatening man  are themselves as weak as him
neutral,brothers bloom wont be opening this weekend in el paso  ill just buy brick and enjoy that until i can watch brothers bloom
neutral,says i miss plurking  httpplurkcompwxion
worry,bitten to blood by my cat on my way for a rabies bacterin seems  shots for  months never wash my cats at home again they hate water
neutral,i miss voobys
neutral,dancingmonk neither are elp
happiness,havingmysay  dude that is my favorite sandwich place ever ummm did you take pictures
worry,is sad that shin ae got marriedand it wasnt to alex
worry,shondarhimes sure you will tweet about this when youre back but news is abuzz about tr knights leaving quotconfirmedquot today  muy triste
sadness,rachellock ohh thursday i have exams all day  what about wednesday 
neutral,there was a mix up with my dentist appt this afternoon so they rescheduled me for tomorrow  am
sadness,gcrush nopantsdance i was just thinking about how excited i am for you guys to move but then i realized how sad i am to see you go
worry,goooood mooorning people sun is out definitly spring now we had our first spring hail storm my car has dimples now
sadness,artfuldodga i love those itsakey usb sticks we only have the gb in australia
worry,fresh prince and sleepy sleeps my nightly routine  gotta go to dmv early tmrw
hate,dammit hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers so i cant watch and code
worry,emmarler i am jealous of your mom talking to taylorswift i want to see you all our twittering is making me miss you
